,Family,LigandType,Value,Category
632,Class A orphans,orphan,31.0,Similarity
633,Class A orphans,orphan,17.0,Identify
634,Class A orphans,orphan,31.0,Similarity
635,Class A orphans,orphan,14.0,Identify
636,Class A orphans,orphan,30.0,Similarity
637,Class A orphans,orphan,17.0,Identify
638,Class A orphans,orphan,30.0,Similarity
639,Class A orphans,orphan,14.0,Identify
640,Class A orphans,orphan,30.0,Similarity
641,Class A orphans,orphan,13.0,Identify
642,Class A orphans,orphan,30.0,Similarity
643,Class A orphans,orphan,12.0,Identify
644,Class A orphans,orphan,29.0,Similarity
645,Class A orphans,orphan,15.0,Identify
646,Class A orphans,orphan,29.0,Similarity
